mesic_1,mesic_2,mesic_3,mesic_4,mesic_5,mesic_6,mesic_7,mesic_8,mesic_9,mesic_10,mesic_11,mesic_12,suma_rok,typ,rok,kraj
22,45,43,50,85,94,73,64,31,50,48,46,652,S,1961,Èeská republika
42,38,40,47,74,84,79,78,52,42,49,48,674,N,1961,Èeská republika
52,118,108,106,115,112,92,82,60,119,98,96,97,P,1961,Èeská republika
15,35,36,60,84,70,56,70,32,44,36,30,569,S,1961,Praha a Støedoèeský
32,30,36,43,70,75,72,73,46,36,40,35,590,N,1961,Praha a Støedoèeský
47,117,100,140,120,93,78,96,70,122,90,86,96,P,1961,Praha a Støedoèeský
14,41,36,66,85,114,49,83,41,50,41,46,664,S,1961,Jihoèeský
34,33,39,49,75,94,83,82,51,37,43,39,659,N,1961,Jihoèeský
41,124,92,135,113,121,59,101,80,135,95,118,101,P,1961,Jihoèeský
22,40,39,57,65,93,51,77,36,41,41,50,612,S,1961,Plzeòský
41,38,44,50,70,78,77,78,53,42,47,46,656,N,1961,Plzeòský
54,105,89,114,93,119,66,99,68,98,87,109,93,P,1961,Plzeòský
39,73,63,60,81,87,70,64,28,38,44,64,711,S,1961,Karlovarský
56,44,47,47,61,75,67,69,56,46,52,61,673,N,1961,Karlovarský
70,166,134,128,133,116,104,93,50,83,85,105,106,P,1961,Karlovarský
23,54,47,51,89,52,59,57,23,38,47,43,583,S,1961,Ústecký
42,36,38,44,61,68,68,70,50,39,47,49,612,N,1961,Ústecký
55,150,124,116,146,76,87,81,46,97,100,88,95,P,1961,Ústecký
41,76,78,59,146,66,122,75,41,46,57,63,869,S,1961,Liberecký
69,54,56,56,79,83,89,89,66,61,71,84,860,N,1961,Liberecký
59,141,139,105,185,80,137,84,62,75,80,75,101,P,1961,Liberecký
38,50,54,52,108,70,106,80,29,45,48,48,729,S,1961,Královéhradecký
60,47,49,48,76,86,83,84,60,52,62,70,774,N,1961,Královéhradecký
63,106,110,108,142,81,128,95,48,87,77,69,94,P,1961,Královéhradecký
21,46,57,28,86,87,90,65,35,53,43,41,651,S,1961,Pardubický
47,40,42,46,77,87,82,84,56,45,52,54,711,N,1961,Pardubický
45,115,136,61,112,100,110,77,62,118,83,76,92,P,1961,Pardubický
16,46,50,33,80,119,77,66,38,51,47,40,663,S,1961,Vysoèina
42,37,37,42,76,82,75,75,49,37,45,43,644,N,1961,Vysoèina
38,124,135,79,105,145,103,88,78,138,104,93,103,P,1961,Vysoèina
18,30,17,41,71,86,72,33,24,60,59,39,552,S,1961,Jihomoravský
30,30,29,38,65,75,64,61,41,34,42,33,543,N,1961,Jihomoravský
60,100,59,108,109,115,112,54,59,176,140,118,102,P,1961,Jihomoravský
25,35,39,34,75,106,80,52,27,75,55,49,651,S,1961,Olomoucký
42,40,40,49,80,94,90,84,55,48,56,52,732,N,1961,Olomoucký
60,88,98,69,94,113,89,62,49,156,98,94,89,P,1961,Olomoucký
30,66,41,68,90,137,86,39,16,66,79,61,780,S,1961,Zlínský
47,46,44,56,82,102,89,83,58,50,64,60,786,N,1961,Zlínský
64,143,93,121,110,134,97,47,28,132,123,102,99,P,1961,Zlínský
18,48,46,29,93,137,101,56,22,45,62,65,722,S,1961,Moravskoslezský
42,44,43,59,94,108,105,98,63,50,58,52,816,N,1961,Moravskoslezský
43,109,107,49,99,127,96,57,35,90,107,125,88,P,1961,Moravskoslezský
39,49,50,42,118,42,64,40,51,30,53,41,618,S,1962,Èeská republika
42,38,40,47,74,84,79,78,52,42,49,48,674,N,1962,Èeská republika
93,129,125,89,159,50,81,51,98,71,108,85,92,P,1962,Èeská republika
24,36,39,41,88,34,73,36,44,22,25,26,487,S,1962,Praha a Støedoèeský
32,30,36,43,70,75,72,73,46,36,40,35,590,N,1962,Praha a Støedoèeský
75,120,108,95,126,45,101,49,96,61,62,74,83,P,1962,Praha a Støedoèeský
40,48,43,31,134,54,61,36,56,25,41,37,605,S,1962,Jihoèeský
34,33,39,49,75,94,83,82,51,37,43,39,659,N,1962,Jihoèeský
118,145,110,63,179,57,73,44,110,68,95,95,92,P,1962,Jihoèeský
34,41,49,45,88,33,62,35,49,17,19,42,515,S,1962,Plzeòský
41,38,44,50,70,78,77,78,53,42,47,46,656,N,1962,Plzeòský
83,108,111,90,126,42,81,45,92,40,40,91,79,P,1962,Plzeòský
47,57,47,42,67,39,64,31,47,9,13,52,516,S,1962,Karlovarský
56,44,47,47,61,75,67,69,56,46,52,61,673,N,1962,Karlovarský
84,130,100,89,110,52,96,45,84,20,25,85,77,P,1962,Karlovarský
39,49,37,34,56,33,68,50,50,17,14,40,486,S,1962,Ústecký
42,36,38,44,61,68,68,70,50,39,47,49,612,N,1962,Ústecký
93,136,97,77,92,49,100,71,100,44,30,82,79,P,1962,Ústecký
73,78,64,45,99,32,99,67,63,31,28,62,739,S,1962,Liberecký
69,54,56,56,79,83,89,89,66,61,71,84,860,N,1962,Liberecký
106,144,114,80,125,39,111,75,95,51,39,74,86,P,1962,Liberecký
63,75,64,38,103,41,68,37,60,29,49,58,686,S,1962,Královéhradecký
60,47,49,48,76,86,83,84,60,52,62,70,774,N,1962,Královéhradecký
105,160,131,79,136,48,82,44,100,56,79,83,89,P,1962,Královéhradecký
41,53,52,33,138,41,62,37,54,37,67,41,655,S,1962,Pardubický
47,40,42,46,77,87,82,84,56,45,52,54,711,N,1962,Pardubický
87,132,124,72,179,47,76,44,96,82,129,76,92,P,1962,Pardubický
43,54,41,28,136,51,58,36,41,34,62,33,619,S,1962,Vysoèina
42,37,37,42,76,82,75,75,49,37,45,43,644,N,1962,Vysoèina
102,146,111,67,179,62,77,48,84,92,138,77,96,P,1962,Vysoèina
22,39,47,41,110,39,51,37,37,44,96,28,590,S,1962,Jihomoravský
30,30,29,38,65,75,64,61,41,34,42,33,543,N,1962,Jihomoravský
73,130,162,108,169,52,80,61,90,129,229,85,109,P,1962,Jihomoravský
41,51,65,45,164,40,55,44,59,46,88,44,744,S,1962,Olomoucký
42,40,40,49,80,94,90,84,55,48,56,52,732,N,1962,Olomoucký
98,128,162,92,205,43,61,52,107,96,157,85,102,P,1962,Olomoucký
35,51,73,70,162,39,70,42,55,47,123,61,827,S,1962,Zlínský
47,46,44,56,82,102,89,83,58,50,64,60,786,N,1962,Zlínský
74,111,166,125,198,38,79,51,95,94,192,102,105,P,1962,Zlínský
46,53,69,67,195,60,61,46,65,47,99,49,857,S,1962,Moravskoslezský
42,44,43,59,94,108,105,98,63,50,58,52,816,N,1962,Moravskoslezský
110,120,160,114,207,56,58,47,103,94,171,94,105,P,1962,Moravskoslezský
30,20,35,27,87,106,40,80,70,29,56,8,587,S,1963,Èeská republika
42,38,40,47,74,84,79,78,52,42,49,48,674,N,1963,Èeská republika
71,53,88,57,118,126,51,103,135,69,114,17,87,P,1963,Èeská republika
21,18,29,27,72,124,38,63,60,17,40,6,514,S,1963,Praha a Støedoèeský
32,30,36,43,70,75,72,73,46,36,40,35,590,N,1963,Praha a Støedoèeský
66,60,81,63,103,165,53,86,130,47,100,17,87,P,1963,Praha a Støedoèeský
30,16,38,32,88,120,42,82,47,21,55,6,577,S,1963,Jihoèeský
34,33,39,49,75,94,83,82,51,37,43,39,659,N,1963,Jihoèeský
88,48,97,65,117,128,51,100,92,57,128,15,88,P,1963,Jihoèeský
28,15,40,25,73,115,49,63,58,23,61,7,556,S,1963,Plzeòský
41,38,44,50,70,78,77,78,53,42,47,46,656,N,1963,Plzeòský
68,39,91,50,104,147,64,81,109,55,130,15,85,P,1963,Plzeòský
